Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
Hubei,Mainland China,01-27-2020T23:59,1423,76,45
Guangdong,Mainland China,01-27-2020T23:59,151,,4
Zhejiang,Mainland China,01-27-2020T23:59,128,,1
Henan,Mainland China,01-27-2020T23:59,128,1,
Chongqing,Mainland China,01-27-2020T23:59,110,,
Hunan,Mainland China,01-27-2020T23:59,100,,
Beijing,Mainland China,01-27-2020T23:59,80,1,2
Shandong,Mainland China,01-27-2020T23:59,75,,
Jiangxi,Mainland China,01-27-2020T23:59,72,,2
Anhui,Mainland China,01-27-2020T23:59,70,,
Sichuan,Mainland China,01-27-2020T23:59,69,,
Fujian,Mainland China,01-27-2020T23:59,59,,
Shanghai,Mainland China,01-27-2020T23:59,53,1,3
Jiangsu,Mainland China,01-27-2020T23:59,47,,1
Guangxi,Mainland China,01-27-2020T23:59,46,,
Shaanxi,Mainland China,01-27-2020T23:59,35,,
Hainan,Mainland China,01-27-2020T23:59,33,1,
Liaoning,Mainland China,01-27-2020T23:59,27,,
Yunnan,Mainland China,01-27-2020T23:59,26,,
Tianjin,Mainland China,01-27-2020T23:59,23,,
Heilongjiang,Mainland China,01-27-2020T23:59,21,1,
Hebei,Mainland China,01-27-2020T23:59,18,1,
Gansu,Mainland China,01-27-2020T23:59,14,,
Shanxi,Mainland China,01-27-2020T23:59,13,,
Inner Mongolia,Mainland China,01-27-2020T23:59,11,,
Hong Kong,Hong Kong,01-27-2020T23:59,8,,
Guizhou,Mainland China,01-27-2020T23:59,7,,
Ningxia,Mainland China,01-27-2020T23:59,7,,
Jilin,Mainland China,01-27-2020T23:59,6,,
Macau,Macau,01-27-2020T23:59,6,,
Qinghai,Mainland China,01-27-2020T23:59,6,,
Taiwan,Taiwan,01-27-2020T23:59,5,,
Xinjiang,Mainland China,01-27-2020T23:59,5,,
Washington,US,01-27-2020T23:59,1,,
Illinois,US,01-27-2020T23:59,1,,
California,US,01-27-2020T23:59,2,,
Arizona,US,01-27-2020T23:59,1,,
,Japan,01-27-2020T23:59,4,,1
,Thailand,01-27-2020T23:59,8,,2
,South Korea,01-27-2020T23:59,4,,
,Singapore,01-27-2020T23:59,5,,
,Vietnam,01-27-2020T23:59,2,,
,France,01-27-2020T23:59,3,,
,Nepal,01-27-2020T23:59,1,,
,Malaysia,01-27-2020T23:59,4,,
Ontario,Canada,01-27-2020T23:59,1,,
,Cambodia,01-27-2020T23:59,1,,
,Sri Lanka,01-27-2020T23:59,1,,
,Ivory Coast,01-27-2020T23:59,1,,
New South Wales,Australia,01-27-2020T23:59,4,,
Victoria,Australia,01-27-2020T23:59,1,,
