Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
Hubei,Mainland China,01-31-2020T23:59,5806,204,141
Zhejiang,Mainland China,01-31-2020T23:59,538,,14
Guangdong,Mainland China,01-31-2020T23:59,436,,11
Henan,Mainland China,01-31-2020T23:59,352,2,3
Hunan,Mainland China,01-31-2020T23:59,332,,2
Jiangxi,Mainland China,01-31-2020T23:59,240,,7
Anhui,Mainland China,01-31-2020T23:59,237,,3
Chongqing,Mainland China,01-31-2020T23:59,211,,1
Shandong,Mainland China,01-31-2020T23:59,184,,2
Sichuan,Mainland China,01-31-2020T23:59,177,1,1
Jiangsu,Mainland China,01-31-2020T23:59,168,,5
Beijing,Mainland China,01-31-2020T23:59,139,1,5
Shanghai,Mainland China,01-31-2020T23:59,135,1,9
Fujian,Mainland China,01-31-2020T23:59,120,,
Guangxi,Mainland China,01-31-2020T23:59,87,,2
Shaanxi,Mainland China,01-31-2020T23:59,87,,
Yunnan,Mainland China,01-31-2020T23:59,83,,1
Hebei,Mainland China,01-31-2020T23:59,82,1,
Heilongjiang,Mainland China,01-31-2020T23:59,59,2,
Hainan,Mainland China,01-31-2020T23:59,52,1,1
Liaoning,Mainland China,01-31-2020T23:59,48,,1
Shanxi,Mainland China,01-31-2020T23:59,39,,1
Tianjin,Mainland China,01-31-2020T23:59,32,,
Guizhou,Mainland China,01-31-2020T23:59,29,,2
Gansu,Mainland China,01-31-2020T23:59,29,,
Ningxia,Mainland China,01-31-2020T23:59,21,,
Inner Mongolia,Mainland China,01-31-2020T23:59,20,,1
Xinjiang,Mainland China,01-31-2020T23:59,17,,
Jilin,Mainland China,01-31-2020T23:59,14,,1
Hong Kong,Hong Kong,01-31-2020T23:59,12,,
Taiwan,Taiwan,01-31-2020T23:59,10,,
Qinghai,Mainland China,01-31-2020T23:59,8,,
Macau,Macau,01-31-2020T23:59,7,,
Tibet,Mainland China,01-31-2020T23:59,1,,
,Thailand,01-31-2020T23:59,19,,5
,Japan,01-31-2020T23:59,15,,1
,Singapore,01-31-2020T23:59,13,,
,South Korea,01-31-2020T23:59,11,,
,Malaysia,01-31-2020T23:59,8,,
,France,01-31-2020T23:59,5,,
Bavaria,Germany,01-31-2020T23:59,5,,
New South Wales,Australia,01-31-2020T23:59,4,,2
,United Arab Emirates,01-31-2020T23:59,4,,
Victoria,Australia,01-31-2020T23:59,3,,
Illinois,US,01-31-2020T23:59,2,,
California,US,01-31-2020T23:59,2,,
,Vietnam,01-31-2020T23:59,2,,
Ontario,Canada,01-31-2020T23:59,2,,
Queensland,Australia,01-31-2020T23:59,2,,
,Italy,01-31-2020T23:59,2,,
,UK,01-31-2020T23:59,2,,
,Russia,01-31-2020T23:59,2,,
Washington,US,01-31-2020T23:59,1,,
Arizona,US,01-31-2020T23:59,1,,
,Nepal,01-31-2020T23:59,1,,
British Columbia,Canada,01-31-2020T23:59,1,,
,Cambodia,01-31-2020T23:59,1,,
,Sri Lanka,01-31-2020T23:59,1,,
,Finland,01-31-2020T23:59,1,,
,Philippines,01-31-2020T23:59,1,,
,India,01-31-2020T23:59,1,,
,Sweden,01-31-2020T23:59,1,,
