Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
Hubei,Mainland China,01-26-2020T16:00,1058,52,42
Guangdong,Mainland China,01-26-2020T16:00,111,,2
Zhejiang,Mainland China,01-26-2020T16:00,104,,1
Henan,Mainland China,01-26-2020T16:00,83,1,
Chongqing,Mainland China,01-26-2020T16:00,75,,
Hunan,Mainland China,01-26-2020T16:00,69,,
Beijing,Mainland China,01-26-2020T16:00,68,,2
Anhui,Mainland China,01-26-2020T16:00,60,,
Shandong,Mainland China,01-26-2020T16:00,46,,
Sichuan,Mainland China,01-26-2020T16:00,44,,
Shanghai,Mainland China,01-26-2020T16:00,40,1,1
Guangxi,Mainland China,01-26-2020T16:00,36,,
Jiangxi,Mainland China,01-26-2020T16:00,36,,
Fujian,Mainland China,01-26-2020T16:00,35,,
Jiangsu,Mainland China,01-26-2020T16:00,33,,1
Hainan,Mainland China,01-26-2020T16:00,22,,
Shaanxi,Mainland China,01-26-2020T16:00,22,,
Liaoning,Mainland China,01-26-2020T16:00,21,,
Yunnan,Mainland China,01-26-2020T16:00,16,,
Heilongjiang,Mainland China,01-26-2020T16:00,15,1,
Tianjin,Mainland China,01-26-2020T16:00,14,,
Hebei,Mainland China,01-26-2020T16:00,13,1,
Shanxi,Mainland China,01-26-2020T16:00,9,,
Hong Kong,Hong Kong,01-26-2020T16:00,8,,
Inner Mongolia,Mainland China,01-26-2020T16:00,7,,
Gansu,Mainland China,01-26-2020T16:00,7,,
Guizhou,Mainland China,01-26-2020T16:00,5,,
Macau,Macau,01-26-2020T16:00,5,,
Ningxia,Mainland China,01-26-2020T16:00,4,,
Jilin,Mainland China,01-26-2020T16:00,4,,
Taiwan,Taiwan,01-26-2020T16:00,4,,
Xinjiang,Mainland China,01-26-2020T16:00,4,,
Qinghai,Mainland China,01-26-2020T16:00,1,,
Washington,US,01-26-2020T16:00,1,,
Illinois,US,01-26-2020T16:00,1,,
California,US,01-26-2020T16:00,2,,
Arizona,US,01-26-2020T16:00,1,,
,Japan,01-26-2020T16:00,4,,1
,Thailand,01-26-2020T16:00,8,,2
,South Korea,01-26-2020T16:00,3,,
,Singapore,01-26-2020T16:00,4,,
,Vietnam,01-26-2020T16:00,2,,
,France,01-26-2020T16:00,3,,
,Australia,01-26-2020T16:00,4,,
,Nepal,01-26-2020T16:00,1,,
,Malaysia,01-26-2020T16:00,4,,
Ontario,Canada,01-26-2020T16:00,1,,
