Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
Hubei,Mainland China,01-30-2020T16:00,4903,162,90
Zhejiang,Mainland China,01-30-2020T16:00,428,,4
Guangdong,Mainland China,01-30-2020T16:00,354,,10
Henan,Mainland China,01-30-2020T16:00,278,2,2
Hunan,Mainland China,01-30-2020T16:00,277,,2
Anhui,Mainland China,01-30-2020T16:00,200,,2
Chongqing,Mainland China,01-30-2020T16:00,182,,1
Jiangxi,Mainland China,01-30-2020T16:00,162,,5
Shandong,Mainland China,01-30-2020T16:00,158,,1
Sichuan,Mainland China,01-30-2020T16:00,142,1,1
Jiangsu,Mainland China,01-30-2020T16:00,129,,1
Beijing,Mainland China,01-30-2020T16:00,114,1,4
Shanghai,Mainland China,01-30-2020T16:00,112,1,5
Fujian,Mainland China,01-30-2020T16:00,101,,
Guangxi,Mainland China,01-30-2020T16:00,78,,2
Yunnan,Mainland China,01-30-2020T16:00,70,,
Hebei,Mainland China,01-30-2020T16:00,65,1,
Shaanxi,Mainland China,01-30-2020T16:00,63,,
Hainan,Mainland China,01-30-2020T16:00,46,1,1
Heilongjiang,Mainland China,01-30-2020T16:00,44,2,
Liaoning,Mainland China,01-30-2020T16:00,41,,1
Shanxi,Mainland China,01-30-2020T16:00,35,,1
Tianjin,Mainland China,01-30-2020T16:00,31,,
Gansu,Mainland China,01-30-2020T16:00,26,,
Inner Mongolia,Mainland China,01-30-2020T16:00,19,,
Ningxia,Mainland China,01-30-2020T16:00,17,,
Jilin,Mainland China,01-30-2020T16:00,14,,1
Xinjiang,Mainland China,01-30-2020T16:00,14,,
Guizhou,Mainland China,01-30-2020T16:00,12,,1
Hong Kong,Hong Kong,01-30-2020T16:00,10,,
Taiwan,Taiwan,01-30-2020T16:00,9,,
Qinghai,Mainland China,01-30-2020T16:00,8,,
Macau,Macau,01-30-2020T16:00,7,,
Tibet,Mainland China,01-30-2020T16:00,1,,
Washington,US,01-30-2020T16:00,1,,
Illinois,US,01-30-2020T16:00,1,,
California,US,01-30-2020T16:00,2,,
Arizona,US,01-30-2020T16:00,1,,
,Japan,01-30-2020T16:00,11,,1
,Thailand,01-30-2020T16:00,14,,5
,South Korea,01-30-2020T16:00,4,,
,Singapore,01-30-2020T16:00,10,,
,Vietnam,01-30-2020T16:00,2,,
,France,01-30-2020T16:00,5,,
,Nepal,01-30-2020T16:00,1,,
,Malaysia,01-30-2020T16:00,8,,
Ontario,Canada,01-30-2020T16:00,2,,
British Columbia,Canada,01-30-2020T16:00,1,,
,Cambodia,01-30-2020T16:00,1,,
,Sri Lanka,01-30-2020T16:00,1,,
New South Wales,Australia,01-30-2020T16:00,4,,2
Victoria,Australia,01-30-2020T16:00,2,,
Queensland,Australia,01-30-2020T16:00,3,,
Bavaria,Germany,01-30-2020T16:00,4,,
,Finland,01-30-2020T16:00,1,,
,United Arab Emirates,01-30-2020T16:00,4,,
,Philippines,01-30-2020T16:00,1,,
,India,01-30-2020T16:00,1,,
