Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
Hubei,Mainland China,01-24-2020T17:00,549,24,31
Guangdong,Mainland China,01-24-2020T17:00,53,,2
Zhejiang,Mainland China,01-24-2020T17:00,43,,1
Beijing,Mainland China,01-24-2020T17:00,36,,1
Chongqing,Mainland China,01-24-2020T17:00,27,,
Hunan,Mainland China,01-24-2020T17:00,24,,
Guangxi,Mainland China,01-24-2020T17:00,23,,
Shanghai,Mainland China,01-24-2020T17:00,20,,1
Jiangxi,Mainland China,01-24-2020T17:00,18,,
Sichuan,Mainland China,01-24-2020T17:00,15,,
Shandong,Mainland China,01-24-2020T17:00,15,,
Anhui,Mainland China,01-24-2020T17:00,15,,
Fujian,Mainland China,01-24-2020T17:00,10,,
Henan,Mainland China,01-24-2020T17:00,9,,
Jiangsu,Mainland China,01-24-2020T17:00,9,,
Hainan,Mainland China,01-24-2020T17:00,8,,
Tianjin,Mainland China,01-24-2020T17:00,8,,
Yunnan,Mainland China,01-24-2020T17:00,5,,
Shaanxi,Mainland China,01-24-2020T17:00,5,,
Heilongjiang,Mainland China,01-24-2020T17:00,4,1,
Liaoning,Mainland China,01-24-2020T17:00,4,,
Guizhou,Mainland China,01-24-2020T17:00,3,,
Jilin,Mainland China,01-24-2020T17:00,3,,
Taiwan,Taiwan,01-24-2020T17:00,3,,
Ningxia,Mainland China,01-24-2020T17:00,2,,
Hong Kong,Hong Kong,01-24-2020T17:00,2,,
Macau,Macau,01-24-2020T17:00,2,,
Hebei,Mainland China,01-24-2020T17:00,2,1,
Gansu,Mainland China,01-24-2020T17:00,2,,
Xinjiang,Mainland China,01-24-2020T17:00,2,,
Shanxi,Mainland China,01-24-2020T17:00,1,,
Inner Mongolia,Mainland China,01-24-2020T17:00,1,,
Qinghai,Mainland China,01-24-2020T17:00,,,
Washington,US,01-24-2020T17:00,1,,
Chicago,US,01-24-2020T17:00,1,,
,Japan,01-24-2020T17:00,2,,
,Thailand,01-24-2020T17:00,5,,
,South Korea,01-24-2020T17:00,2,,
,Singapore,01-24-2020T17:00,3,,
,Vietnam,01-24-2020T17:00,2,,
,France,01-24-2020T17:00,2,,
