Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
Hubei,Mainland China,01-29-2020T19:30,3554,125,88
Zhejiang,Mainland China,01-29-2020T19:30,296,,3
Guangdong,Mainland China,01-29-2020T19:30,277,,5
Hunan,Mainland China,01-29-2020T19:30,221,,
Henan,Mainland China,01-29-2020T19:30,206,2,1
Anhui,Mainland China,01-29-2020T19:30,152,,2
Chongqing,Mainland China,01-29-2020T19:30,147,,1
Shandong,Mainland China,01-29-2020T19:30,130,,1
Beijing,Mainland China,01-29-2020T19:30,111,1,4
Jiangxi,Mainland China,01-29-2020T19:30,109,,3
Sichuan,Mainland China,01-29-2020T19:30,108,1,1
Jiangsu,Mainland China,01-29-2020T19:30,99,,1
Shanghai,Mainland China,01-29-2020T19:30,96,1,5
Fujian,Mainland China,01-29-2020T19:30,84,,
Guangxi,Mainland China,01-29-2020T19:30,58,,2
Shaanxi,Mainland China,01-29-2020T19:30,56,,
Yunnan,Mainland China,01-29-2020T19:30,55,,
Hebei,Mainland China,01-29-2020T19:30,48,1,
Hainan,Mainland China,01-29-2020T19:30,43,1,
Liaoning,Mainland China,01-29-2020T19:30,39,,1
Heilongjiang,Mainland China,01-29-2020T19:30,38,1,
Tianjin,Mainland China,01-29-2020T19:30,27,,
Shanxi,Mainland China,01-29-2020T19:30,27,,1
Gansu,Mainland China,01-29-2020T19:30,24,,
Inner Mongolia,Mainland China,01-29-2020T19:30,16,,
Xinjiang,Mainland China,01-29-2020T19:30,13,,
Ningxia,Mainland China,01-29-2020T19:30,12,,
Hong Kong,Hong Kong,01-29-2020T19:30,10,,
Guizhou,Mainland China,01-29-2020T19:30,9,,1
Jilin,Mainland China,01-29-2020T19:30,9,,
Taiwan,Taiwan,01-29-2020T19:30,8,,
Macau,Macau,01-29-2020T19:30,7,,
Qinghai,Mainland China,01-29-2020T19:30,6,,
Washington,US,01-29-2020T19:30,1,,
Illinois,US,01-29-2020T19:30,1,,
California,US,01-29-2020T19:30,2,,
Arizona,US,01-29-2020T19:30,1,,
,Japan,01-29-2020T19:30,7,,1
,Thailand,01-29-2020T19:30,14,,5
,South Korea,01-29-2020T19:30,4,,
,Singapore,01-29-2020T19:30,7,,
,Vietnam,01-29-2020T19:30,2,,
,France,01-29-2020T19:30,5,,
,Nepal,01-29-2020T19:30,1,,
,Malaysia,01-29-2020T19:30,7,,
Ontario,Canada,01-29-2020T19:30,1,,
British Columbia,Canada,01-29-2020T19:30,1,,
,Cambodia,01-29-2020T19:30,1,,
,Sri Lanka,01-29-2020T19:30,1,,
New South Wales,Australia,01-29-2020T19:30,4,,
Victoria,Australia,01-29-2020T19:30,1,,
Bavaria,Germany,01-29-2020T19:30,4,,
,Finland,01-29-2020T19:30,1,,
,United Arab Emirates,01-29-2020T19:30,4,,
