Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
Hubei,Mainland China,02-01-2020T11:53,7153,249,168
Zhejiang,Mainland China,02-01-2020T10:53,599,0,21
Guangdong,Mainland China,02-01-2020T14:23,535,0,14
Henan,Mainland China,02-01-2020T1:52,422,2,3
Hunan,Mainland China,02-01-2020T11:03,389,0,8
Anhui,Mainland China,02-01-2020T13:33,297,0,5
Jiangxi,Mainland China,02-01-2020T1:52,286,0,9
Chongqing,Mainland China,02-01-2020T8:43,247,1,3
Sichuan,Mainland China,02-01-2020T1:52,207,1,3
Shandong,Mainland China,02-01-2020T7:51,206,0,3
Jiangsu,Mainland China,02-01-2020T14:03,202,0,6
Shanghai,Mainland China,02-01-2020T6:05,169,1,10
Beijing,Mainland China,02-01-2020T9:17,168,1,9
Fujian,Mainland China,02-01-2020T5:37,144,0,0
Shaanxi,Mainland China,02-01-2020T5:37,101,0,0
Guangxi,Mainland China,02-01-2020T1:52,100,0,2
Hebei,Mainland China,02-01-2020T1:52,96,1,0
Yunnan,Mainland China,02-01-2020T15:53,93,0,2
Heilongjiang,Mainland China,02-01-2020T10:33,80,2,2
Liaoning,Mainland China,02-01-2020T15:23,64,0,1
Hainan,Mainland China,02-01-2020T8:43,62,1,1
Shanxi,Mainland China,02-01-2020T1:52,47,0,1
Tianjin,Mainland China,02-01-2020T15:43,41,0,0
Gansu,Mainland China,02-01-2020T15:43,40,0,0
Guizhou,Mainland China,01-31-2020T15:20,29,0,2
Ningxia,Mainland China,02-01-2020T2:13,26,0,0
Inner Mongolia,Mainland China,02-01-2020T5:37,23,0,1
,Japan,02-01-2020T18:53,20,0,1
,Thailand,01-31-2020T10:37,19,0,5
Xinjiang,Mainland China,02-01-2020T5:37,18,0,0
Jilin,Mainland China,02-01-2020T1:52,17,0,1
,Singapore,02-01-2020T5:37,16,0,0
Hong Kong,Hong Kong,02-01-2020T5:37,13,0,0
,South Korea,02-01-2020T10:43,12,0,0
Taiwan,Taiwan,01-31-2020T15:20,10,0,0
Qinghai,Mainland China,02-01-2020T5:37,9,0,0
,Malaysia,01-31-2020T8:15,8,0,0
,Germany,02-01-2020T18:33,8,0,0
Macau,Macau,01-31-2020T8:15,7,0,0
,France,02-01-2020T1:52,6,0,0
,Vietnam,02-01-2020T7:38,6,0,1
New South Wales,Australia,02-01-2020T18:12,4,0,2
Victoria,Australia,02-01-2020T18:12,4,0,0
,United Arab Emirates,01-31-2020T8:15,4,0,0
Queensland,Australia,02-01-2020T18:12,3,0,0
Ontario,Canada,02-01-2020T18:12,3,0,0
,Italy,01-31-2020T8:15,2,0,0
,Russia,01-31-2020T16:13,2,0,0
,UK,02-01-2020T1:52,2,0,0
"Chicago, IL",US,02-01-2020T19:43,2,0,0
South Australia,Australia,02-01-2020T18:12,1,0,0
,Cambodia,01-31-2020T8:15,1,0,0
British Columbia,Canada,02-01-2020T18:12,1,0,0
,Finland,01-31-2020T8:15,1,0,0
,India,01-31-2020T8:15,1,0,0
Tibet,Mainland China,02-01-2020T1:52,1,0,0
,Nepal,01-31-2020T8:15,1,0,0
,Philippines,02-01-2020T17:43,1,0,0
,Spain,02-01-2020T2:13,1,0,0
,Sri Lanka,01-31-2020T8:15,1,0,0
,Sweden,02-01-2020T2:13,1,0,0
"Boston, MA",US,02-01-2020T19:43,1,0,0
"Los Angeles, CA",US,02-01-2020T19:53,1,0,0
"Orange, CA",US,02-01-2020T19:53,1,0,0
"Santa Clara, CA",US,02-01-2020T19:53,1,0,0
"Seattle, WA",US,02-01-2020T19:43,1,0,0
"Tempe, AZ",US,02-01-2020T19:43,1,0,0
